,1,10,100,1000,10000,100000,1000000,10000000
0,1.250999999979907e-06,1.1159999999676984e-06,3.5059999999864644e-06,4.821800000004428e-05,0.0004943520000000312,0.004933408000000028,0.043592960999999986,0.41737121299999996
1,3.7469999999428794e-06,8.73999999928543e-07,2.986000000038125e-06,3.748800000002994e-05,0.0004089569999999876,0.004206865000000004,0.04211429900000008,0.42054281800000004
2,3.5700000000638e-06,8.730000000678473e-07,3.050999999976156e-06,3.783099999998818e-05,0.0004108310000001669,0.004087418999999981,0.041463417999999974,0.4444549339999999
3,3.905000000026249e-06,8.710000001244111e-07,3.3839999999951687e-06,3.67910000000915e-05,0.000399025999999969,0.004363647000000137,0.040762217000000156,0.41953507
4,3.990000000175797e-06,8.610000001851859e-07,3.1899999997087036e-06,3.764299999975407e-05,0.0004101349999996451,0.004136944000000309,0.04227707599999997,0.41773157199999966
5,3.6809999999221077e-06,8.899999999201214e-07,3.0859999999854892e-06,3.743099999997668e-05,0.00040694200000013225,0.004115807000000249,0.04238740799999974,0.41739618899999975
6,3.825000000290402e-06,8.910000000028617e-07,2.9900000000360194e-06,3.772700000004292e-05,0.0004102459999999475,0.004175260999999875,0.04209601999999979,0.4202800230000001
7,4.040999999954664e-06,8.810000000636364e-07,3.060999999693337e-06,3.8330999999836024e-05,0.00040866199999989306,0.0041940849999999585,0.04140484899999963,0.41747299800000004
8,3.730000000423672e-06,8.689999999589304e-07,3.0060000000275977e-06,3.7873000000132606e-05,0.0004073860000000096,0.004153275999999373,0.04307235700000067,0.41376926099999967
9,4.001000000641852e-06,8.250000007592462e-07,3.233999999352477e-06,3.669699999964138e-05,0.0004495300000000313,0.003999412000000646,0.04121509199999984,0.4188635669999998
