1,2,3,4,5,6,7,8,9,10
337.1800000022631, 324.49500000069384, 328.84000000194646, 324.61500000488013, 321.63500000024214, 329.3199999971548, 327.30000000447035, 330.4100000022445, 330.7100000020582, 342.3499999990454
336.42500000132713, 334.30500000400934, 332.5650000043679, 329.0850000048522, 330.1950000023935, 326.3749999969732, 328.09000000276137, 328.19500000192784, 335.49499999941327, 327.7749999979278
336.78499999956694, 329.5549999966752, 337.0800000047311, 327.5950000024168, 330.75999999709893, 329.894999995362, 332.37499999813735, 331.54999999538995, 328.18000000400934, 318.1650000042282
341.52500000351574, 324.8149999999441, 318.4700000056764, 323.35500000044703, 324.67999999783933, 316.0100000022212, 322.93500000378117, 321.42499999457505, 321.074999999837, 321.94000000169035
330.0600000001723, 328.6149999985937, 330.7249999998603, 331.80500000168104, 328.73499999556225, 330.74499999941327, 330.70500000030734, 334.25000000721775, 333.3150000034366, 363.60500000580214
330.33000000426546, 321.66000000131316, 322.06500000029337, 317.94999999692664, 321.73499999777414, 320.2300000047544, 319.08499999553896, 321.63500000024214, 322.28000000026077, 321.5450000060955
327.30499999877065, 329.6249999983702, 322.68499999912456, 332.3350000063656, 327.2300000026589, 320.18499999691267, 319.2249999992782, 329.99999999441206, 331.285000000149, 326.5850000025239
325.90999999968335, 323.96500000322703, 319.9849999946309, 315.3200000014622, 323.44000000006054, 322.4199999967823, 332.5699999986682, 332.58500000368804, 331.8250000011176, 325.2599999977974
327.389999998617, 319.2999999956228, 332.58999999810476, 323.5899999999674, 320.05499999655876, 326.95999999844935, 323.1100000048755, 321.399999993504, 321.1500000033993, 322.4049999990966
328.9950000034878, 321.64499999640975, 322.7950000001583, 321.20999999460764, 321.7149999982212, 320.4750000004424, 319.34999999799766, 323.27499999513384, 317.1650000005029, 331.1150000008056
